TAILLE LISTE,Tri par Selection,Tri par Insertion,Tri à Bulle,Tri Fusion,Tri par tas,Quicksort,Tri à Peigne,Tri de Shell,Smoothsort
100,5150,2711,7311,804,1206,1110,1444,666,4829
100,5150,2672,7272,826,1168,1092,1444,634,4791
100,5150,2610,7215,811,1171,1022,1448,746,4759
100,5150,2926,7544,824,1167,1188,1427,730,5169
100,5150,2466,7078,820,1191,1113,1444,692,4451
100,5150,2474,7070,819,1191,1135,1532,662,4503
100,5150,2901,7509,814,1180,1057,1428,716,5177
100,5150,2648,7253,829,1170,1201,1426,740,4781
100,5150,2638,7247,822,1175,1346,1545,634,4585
100,5150,2653,7265,843,1170,1112,1455,760,4627
100,5150,2715,7324,825,1189,1032,1561,724,4817
100,5150,2578,7191,791,1198,1140,1335,752,4539
100,5150,2662,7254,841,1212,1022,1421,628,4537
100,5150,2579,7185,832,1207,1230,1430,746,4535
100,5150,3107,7710,837,1114,1039,1447,766,5677
100,5150,2796,7399,810,1211,1011,1457,630,4935
100,5150,2821,7429,820,1224,1368,1427,776,5053
100,5150,2536,7140,807,1247,1202,1425,696,4609
100,5150,2602,7210,799,1185,1004,1431,734,4705
100,5150,2765,7377,823,1196,1067,1437,730,4809
200,20300,10902,29996,1953,2718,2869,3455,1574,20389
200,20300,10114,29204,1964,2775,2969,3478,1646,18719
200,20300,10718,29833,1869,2717,2609,3502,1700,19791
200,20300,10673,29754,1942,2725,2639,3505,1702,20045
200,20300,10569,29645,1941,2743,2846,3509,1600,19623
200,20300,10914,30034,1944,2711,2619,3484,1786,20095
200,20300,10355,29455,1919,2740,3003,3482,1808,19667
200,20300,10272,29375,1941,2779,2691,3972,1640,19277
200,20300,10482,29564,1952,2751,2884,3719,1576,19289
200,20300,10441,29537,1966,2728,3172,3687,1668,19139
200,20300,11084,30167,1940,2723,2859,4278,1656,20497
200,20300,10565,29657,1946,2763,2866,3485,1738,19767
200,20300,10377,29476,1961,2756,3083,3512,1680,19187
200,20300,11355,30452,1952,2733,2778,3535,1532,21599
200,20300,10469,29576,1942,2779,3068,3457,1528,19421
200,20300,10962,30054,1948,2716,2807,3497,1690,20139
200,20300,10839,29957,1976,2780,3215,3488,1796,20339
200,20300,10242,29315,1928,2796,2557,3730,1650,18997
200,20300,10324,29412,1964,2774,2968,3709,1586,18873
200,20300,10725,29805,1959,2772,2832,3683,1616,20219
300,45450,25314,68846,3180,4411,4375,5492,2726,48775
300,45450,23576,67093,3157,4511,4248,5532,2632,45311
300,45450,22755,66237,3177,4482,5226,5496,2566,42895
300,45450,22855,66342,3160,4497,4662,5533,2786,43643
300,45450,23066,66566,3197,4433,4284,5540,2558,43177
300,45450,23827,67347,3190,4503,4736,5565,2762,45597
300,45450,23168,66676,3184,4473,4804,5562,2694,43389
300,45450,24165,67706,3182,4428,4145,5559,2758,46211
300,45450,22478,65992,3185,4544,4684,5524,2832,42479
300,45450,24845,68329,3217,4451,4787,5523,2568,47591
300,45450,25577,69097,3153,4427,4780,5521,2556,49365
